Balanced BST comparison number, Random BST comparison number, Not balanced BST comparison number
10, 12, 1850
11, 16, 1671
11, 8, 605
10, 13, 1822
9, 20, 1324
8, 9, 680
10, 16, 986
11, 16, 103
11, 15, 1373
11, 15, 1487
11, 13, 1801
11, 14, 827
11, 16, 61
11, 12, 1415
8, 14, 1928
8, 14, 312
11, 15, 1933
9, 4, 1524
10, 13, 1830
11, 15, 1487
9, 13, 564
10, 14, 1830
11, 16, 279
11, 13, 197
11, 17, 1433
11, 13, 745
10, 9, 1194
11, 17, 1651
11, 11, 1435
11, 10, 1589
10, 15, 1358
11, 10, 1007
11, 13, 1767
11, 12, 69
8, 12, 696
11, 14, 961
11, 19, 639
10, 16, 1738
11, 12, 265
9, 18, 676
10, 9, 202
10, 16, 650
11, 8, 95
10, 9, 58
8, 13, 280
8, 12, 280
10, 11, 1846
10, 15, 1102
10, 12, 1058
11, 17, 1075
11, 12, 1823
11, 11, 1561
6, 15, 1056
10, 16, 1490
10, 15, 810
11, 15, 855
10, 12, 1902
11, 17, 1957
11, 13, 1013
11, 12, 935
10, 10, 146
11, 8, 1893
10, 20, 62
8, 7, 184
11, 6, 1541
11, 7, 213
9, 14, 468
10, 17, 1382
7, 13, 848
10, 10, 294
9, 11, 636
11, 15, 1385
11, 13, 321
11, 14, 87
11, 18, 1861
6, 11, 800
11, 17, 255
10, 14, 1438
11, 17, 1055
10, 19, 1066
7, 13, 592
11, 12, 1627
11, 11, 1971
11, 15, 487
11, 16, 907
9, 13, 1196
7, 19, 336
11, 12, 1517
11, 15, 623
11, 12, 1071
11, 12, 359
11, 11, 837
10, 13, 1846
11, 16, 1195
11, 11, 5
11, 16, 2001
10, 10, 746
11, 12, 1849
11, 18, 507
11, 16, 321
